road_name,segment_id,road_label,route_geometry
Anna Nagar,0,0,"[[13.085, 80.21], [13.084992, 80.210162], [13.084988, 80.210201], [13.084989, 80.210239], [13.084853, 80.212931], [13.084924, 80.212939], [13.085495, 80.21296], [13.085987, 80.212982], [13.086336, 80.212998], [13.086562, 80.213008], [13.088046, 80.213073], [13.088609, 80.213098], [13.089118, 80.213121], [13.089099, 80.213735], [13.08909, 80.214003]]"
Anna Nagar,1,2,"[[13.089773, 80.214992], [13.089772, 80.215024], [13.08975, 80.215625], [13.090415, 80.215661], [13.091197, 80.215691], [13.091717, 80.21571], [13.092343, 80.215736], [13.092326, 80.216552], [13.092334, 80.216621], [13.092335, 80.217038], [13.09232, 80.217376], [13.092311, 80.217536], [13.09231, 80.218188], [13.092317, 80.218194], [13.092335, 80.218209], [13.093231, 80.218272], [13.093949, 80.218312], [13.094007, 80.218316], [13.094054, 80.218318], [13.094221, 80.218344], [13.094616, 80.218395], [13.095925, 80.218864], [13.09589, 80.218963], [13.09462, 80.218544], [13.094531, 80.218511], [13.094065, 80.218432], [13.094042, 80.219002]]"
ECR,0,2,"[[12.899628, 80.250119], [12.899189, 80.250073], [12.899151, 80.250069], [12.899143, 80.250121], [12.899047, 80.250811], [12.898739, 80.253024], [12.900591, 80.253277], [12.902443, 80.253521], [12.902362, 80.2542], [12.902425, 80.254214], [12.902446, 80.254223], [12.902467, 80.254242], [12.902499, 80.254293], [12.902515, 80.254318], [12.902532, 80.254335], [12.902579, 80.254352], [12.902668, 80.254362], [12.903393, 80.254466], [12.903431, 80.254462], [12.903458, 80.254452], [12.903478, 80.254434], [12.903488, 80.254397], [12.90355, 80.253976]]"
ECR,1,2,"[[12.904883, 80.254702], [12.905431, 80.249989], [12.905517, 80.249245], [12.904937, 80.249162], [12.904953, 80.249094], [12.90498, 80.2491], [12.905526, 80.249195], [12.906705, 80.249458], [12.90706, 80.249551], [12.907067, 80.249552], [12.907482, 80.249644], [12.908106, 80.249783], [12.908236, 80.249812], [12.908459, 80.249839], [12.90919, 80.249929], [12.909467, 80.249959], [12.909805, 80.249988], [12.909998, 80.250006], [12.909994, 80.250056], [12.909869, 80.251168], [12.909805, 80.251735], [12.90963, 80.253294], [12.909531, 80.254169], [12.909366, 80.255012]]"
Mount Road,0,2,"[[13.060058, 80.269961], [13.060135, 80.270082], [13.060187, 80.270173], [13.060352, 80.270389], [13.060495, 80.270863], [13.0607, 80.27148], [13.060726, 80.271555], [13.060858, 80.272459], [13.060927, 80.273339], [13.060933, 80.273577], [13.060936, 80.273677], [13.060933, 80.273966], [13.060916, 80.274329], [13.061587, 80.274314], [13.062036, 80.274264], [13.062492, 80.274214], [13.062555, 80.274201], [13.063, 80.274135], [13.063191, 80.274115], [13.063417, 80.274084], [13.063767, 80.274056], [13.063997, 80.273991]]"
Mount Road,1,2,"[[13.065, 80.274998], [13.065236, 80.275008], [13.065242, 80.274816], [13.065211, 80.273815], [13.065505, 80.273783], [13.065687, 80.273769], [13.066165, 80.273744], [13.066572, 80.273709], [13.066763, 80.273684], [13.066843, 80.273629], [13.067584, 80.272642], [13.067885, 80.272271], [13.068163, 80.271998], [13.068362, 80.271793], [13.068432, 80.271709], [13.068513, 80.27179], [13.068602, 80.271856], [13.068775, 80.271937], [13.069146, 80.272145], [13.069504, 80.272428], [13.069936, 80.272889], [13.070547, 80.273658], [13.070777, 80.273896], [13.070811, 80.273928], [13.07087, 80.273955], [13.071654, 80.274314], [13.071794, 80.274375], [13.071692, 80.274538], [13.07175, 80.274662], [13.071768, 80.274715], [13.071758, 80.274846], [13.071587, 80.275173], [13.07153, 80.275253], [13.07141, 80.27542], [13.070818, 80.27626], [13.069938, 80.277508], [13.069271, 80.278458], [13.068928, 80.278947]]"
OMR,0,2,"[[12.915065, 80.229583], [12.914915, 80.229558], [12.914867, 80.229542], [12.914728, 80.229495], [12.914154, 80.229416], [12.913983, 80.230276], [12.913954, 80.230421], [12.91381, 80.23114], [12.9138, 80.231299], [12.913751, 80.232111], [12.913706, 80.232406], [12.913766, 80.232602], [12.91388, 80.232986], [12.914131, 80.233005], [12.914278, 80.232991], [12.914398, 80.232981], [12.914472, 80.232969], [12.914522, 80.232961], [12.914613, 80.232947], [12.91483, 80.23295], [12.914958, 80.232974], [12.915163, 80.233101], [12.915293, 80.233213], [12.915359, 80.233283], [12.915555, 80.233433], [12.915648, 80.233473], [12.916097, 80.233494], [12.916448, 80.233577], [12.91662, 80.233627], [12.916907, 80.233684], [12.917061, 80.233683], [12.917163, 80.233661], [12.917316, 80.233595], [12.917578, 80.233572], [12.917895, 80.233544], [12.918078, 80.233536], [12.91837, 80.233523], [12.918621, 80.233552], [12.918645, 80.233555], [12.918903, 80.233585], [12.918874, 80.233836], [12.918861, 80.233971]]"
OMR,1,2,"[[12.919582, 80.234973], [12.919601, 80.234668], [12.919639, 80.234407], [12.91964, 80.23431], [12.919638, 80.234266], [12.919614, 80.23424], [12.919548, 80.234214], [12.919078, 80.234269], [12.918876, 80.234306], [12.918861, 80.234309], [12.918488, 80.234378], [12.918317, 80.234384], [12.918239, 80.23432], [12.918238, 80.234173], [12.91837, 80.233523], [12.9185, 80.232902], [12.91857, 80.232575], [12.918687, 80.23199], [12.918971, 80.230766], [12.919051, 80.230291], [12.919051, 80.230161], [12.919051, 80.230079], [12.917584, 80.229882], [12.917152, 80.229824], [12.917164, 80.229719], [12.917597, 80.229778], [12.917965, 80.229828], [12.9191, 80.229981], [12.92072, 80.230185], [12.921962, 80.230353], [12.923172, 80.230525], [12.923311, 80.230545], [12.923431, 80.230551], [12.924365, 80.230684], [12.924517, 80.230702], [12.926303, 80.230923], [12.927719, 80.231129], [12.929011, 80.231294], [12.928989, 80.231392], [12.928909, 80.231379], [12.928273, 80.231299], [12.927807, 80.231245], [12.92766, 80.231229], [12.926568, 80.231068], [12.926344, 80.231035], [12.926333, 80.23108], [12.926317, 80.231126], [12.926299, 80.231199], [12.92629, 80.231281], [12.926244, 80.231568], [12.92615, 80.232153], [12.926149, 80.232449], [12.926202, 80.232822], [12.92616, 80.233277], [12.926152, 80.23331], [12.926098, 80.233516], [12.926062, 80.233656], [12.926049, 80.233873], [12.92607, 80.234289], [12.926073, 80.23438], [12.926084, 80.234706], [12.926123, 80.234788], [12.92627, 80.234914], [12.926159, 80.235252], [12.92613, 80.235339], [12.926087, 80.23547], [12.92603, 80.235662], [12.926001, 80.235745], [12.925927, 80.235955], [12.926078, 80.235982], [12.926501, 80.23607], [12.926423, 80.236347], [12.926352, 80.236571], [12.926278, 80.236857], [12.926126, 80.23736], [12.926051, 80.237606], [12.92589, 80.238149], [12.925785, 80.238494], [12.925499, 80.239316], [12.925417, 80.23958], [12.924664, 80.239327], [12.924696, 80.239223]]"
Velachery,0,2,"[[12.975033, 80.219914], [12.975139, 80.219957], [12.975598, 80.220119], [12.975606, 80.2202], [12.975622, 80.220256], [12.975639, 80.220321], [12.975681, 80.220399], [12.975704, 80.220438], [12.975663, 80.220464], [12.975587, 80.220529], [12.975556, 80.220565], [12.975537, 80.220589], [12.975513, 80.220637], [12.975485, 80.220719], [12.975569, 80.220782], [12.975596, 80.220809], [12.975641, 80.220856], [12.975686, 80.220897], [12.975874, 80.22106], [12.975928, 80.221116], [12.975974, 80.221169], [12.97603, 80.221242], [12.976087, 80.221333], [12.976248, 80.221582], [12.976463, 80.221928], [12.97655, 80.222067], [12.976993, 80.222763], [12.977223, 80.223144], [12.977457, 80.223531], [12.977583, 80.223526], [12.977885, 80.223507], [12.978134, 80.223506], [12.978546, 80.223505], [12.978984, 80.223496], [12.978993, 80.224]]"
Velachery,1,2,"[[12.979949, 80.225003], [12.979971, 80.225423], [12.980108, 80.225412], [12.980114, 80.225627], [12.980118, 80.226369], [12.979817, 80.22653], [12.979489, 80.226562], [12.979413, 80.226599], [12.979307, 80.226664], [12.980252, 80.228193], [12.980351, 80.228355], [12.980483, 80.228565], [12.980611, 80.228782], [12.980919, 80.229307], [12.981001, 80.22929], [12.981076, 80.229284], [12.981534, 80.22934], [12.981621, 80.229344], [12.982033, 80.229426], [12.982352, 80.229516], [12.982418, 80.229525], [12.982842, 80.229608], [12.982911, 80.229641], [12.982983, 80.229663], [12.983033, 80.229675], [12.983065, 80.229108], [12.983069, 80.229068], [12.983107, 80.228697], [12.983112, 80.228691], [12.983117, 80.228686], [12.983125, 80.228682], [12.983133, 80.22868], [12.983318, 80.228689], [12.983842, 80.228727], [12.984136, 80.228761], [12.984128, 80.228978]]"
