window_id,mean_rms,std_rms,road_label
0,0.5668391956816169,0.02527805179636,0
1,0.5739828645349462,0.0269984051410329,1
2,0.573914997508388,0.0274022971818509,0
3,0.5740021871150564,0.0459199984901316,1
4,0.5753455303736184,0.0636784200276057,1
5,0.5714291633473382,0.0140213609190147,0
6,0.5917471379215595,0.100160283114905,2
7,0.5808074568843284,0.0703166614107535,2
8,0.5857279862352338,0.0905240727484162,2
9,0.5847176452698549,0.0684505579662434,2
10,0.5802931171083522,0.0702386947322324,1
11,0.5873466564982862,0.0837799663930397,2
12,0.6039195906304112,0.1015397134904848,2
13,0.5761707806150878,0.0248369803904936,1
14,0.5724802592377773,0.015702864674185,0
15,0.5738580593970192,0.02791291666591,0
0,0.5671422107155596,0.0164319499393303,0
1,0.5695589208605503,0.0261252139244255,1
2,0.5745721118041204,0.0268393374702834,1
3,0.5682899534192756,0.0222507004026354,0
4,0.5691147881720852,0.028043517720739,0
5,0.5688794776534601,0.0069515792814944,0
6,0.5949459939359483,0.0839372684843556,2
7,0.6006385060169124,0.0976293573598151,2
8,0.6021170076431347,0.0815471217616096,2
9,0.5785247127370008,0.0345574086161684,1
10,0.5688566523268269,0.0393531278934922,0
11,0.5884934364825426,0.0563173855667303,2
12,0.5777607874555891,0.0463114508926175,1
13,0.5856046853576806,0.068619827230333,2
14,0.610880169012703,0.0799854433237911,2
15,0.5983016988821995,0.0886348678661691,2
16,0.5754776614833708,0.0235163276105398,1
17,0.5693601090093734,0.0112728481064656,0
18,0.573094567952789,0.0367962715894229,1
0,0.5718194560786637,0.0270286629837864,0
1,0.5729009970548362,0.0258031814640738,0
2,0.5839624613165326,0.0312678393516182,2
3,0.5729471152915323,0.0216803270061038,0
4,0.5780736936439546,0.0398556756446885,1
5,0.5727502821670771,0.0170153216442226,0
6,0.5937635943584406,0.0878976934224888,2
7,0.5727780794708085,0.0234881050937611,0
8,0.593152119293869,0.0786254239161598,2
9,0.572369483459832,0.0742624222884898,0
10,0.5836638674436048,0.0704418327063355,2
11,0.5750378944234709,0.0299214135275693,1
12,0.5713841388379797,0.0305147432105208,0
13,0.5778218177563118,0.0442205071643468,1
14,0.5811803859616593,0.0477081526600052,2
15,0.5733280233614988,0.0189726714804319,1
16,0.5867174649262986,0.0676146047696961,2
17,0.584663399932105,0.0372156558827812,2
18,0.578460257137852,0.0491103488740819,1
19,0.5769795342501126,0.0371066757992721,1
20,0.6055733927299548,0.0984470471177104,2
21,0.5796451745627157,0.0437203185292408,1
22,0.5701967301266331,0.0155904444641051,0
0,0.574048529480023,0.0129938911689283,0
1,0.5736283967894966,0.0228498934312289,0
2,0.5778563896582952,0.0194028006162887,1
3,0.5698451512574416,0.0184542769384639,0
4,0.5812777762235547,0.0513852129367681,2
5,0.5804003663535969,0.0667547643494598,2
6,0.5782012813614603,0.049052496637009,1
7,0.5971948822895237,0.106875551385085,2
8,0.5680252858113152,0.0016191840988247,0
9,0.580464042673892,0.0520609459781375,2
10,0.560173223837489,0.0660908575105134,0
11,0.5773324013335599,0.0441528493580947,1
12,0.5676002097082663,0.002609834207879,0
13,0.5660952326113816,0.0257554611569639,0
14,0.5874625799317851,0.0590138858453933,2
15,0.57298148413157,0.0382461711774655,0
16,0.5782755466726008,0.0434758984916389,1
17,0.5839401630654725,0.052752354677989,2
18,0.5931187065516622,0.0642387447437291,2
19,0.5821580081595399,0.0910267270630235,2
20,0.5784444147730831,0.0229387689228121,1
21,0.574381821249484,0.0259895546124655,1
22,0.5751650036747478,0.0234354858441657,1
0,0.5781846007356268,0.022774351742602,1
1,0.5733146020648415,0.0217792767418597,0
2,0.5759598020444994,0.0222656270047291,1
3,0.5686621648481528,0.0927949428528385,0
4,0.5753338588243574,0.0531289268729269,1
5,0.5844793922592095,0.0682115719330772,2
6,0.5681194829659875,0.0052078216165851,0
7,0.5739261458473979,0.0645047980789832,0
8,0.5844056943509996,0.0773155786952115,2
9,0.567637991606142,0.0027852188268975,0
10,0.5721981448317608,0.0454648917960219,0
11,0.5834031514901671,0.0557654755560853,2
12,0.5742039886456745,0.0352957438734384,1
13,0.5932814101427598,0.0955194329124781,2
14,0.5797596616938375,0.0363386192252129,1
15,0.5858944385571125,0.0656631793866591,2
16,0.5907453132198853,0.0634143801460438,2
17,0.5802456540772831,0.0329476871980568,2
18,0.5764530394279397,0.0273248417862868,1
19,0.5669006956183399,0.0060610667388578,0
